Comment,Designator,Footprint,LCSC
ICDC,J4,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,
4u7,C10,CAPC0610X45N,
4u7,C3,CAPC0610X45N,
dividedclk,J6,Akizuki-SMA,
4u7,C28,CAPC0610X45N,
ControlSPI,J1,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,
Conn_01x01,J9,MountingHole_3.2mm_M3_ISO7380_Pad,
4u7,C29,CAPC0610X45N,
4u7,C37,CAPC0610X45N,
4u7,C5,CAPC0610X45N,
4u7,C17,CAPC0610X45N,
220u,C2,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,
4u7,C21,CAPC0610X45N,
1000u,C11,CP_Elec_10x10,
4u7,C27,CAPC0610X45N,
4u7,C24,CAPC0610X45N,
4u7,C18,CAPC0610X45N,
4u7,C22,CAPC0610X45N,
4u7,C4,CAPC0610X45N,
4u7,C13,CAPC0610X45N,
SN74AXC4T774QPWRQ1,IC2,SOP65P640X120-16N,
220u,C45,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,
4u7,C19,CAPC0610X45N,
Conn_01x01,J10,MountingHole_3.2mm_M3_ISO7380_Pad,
IC149-100-014-B5,J8,IC149-100-014-B5,
SN74AXC4T774QPWRQ1,IC1,SOP65P640X120-16N,
4u7,C33,CAPC0610X45N,
4u7,C6,CAPC0610X45N,
4u7,C16,CAPC0610X45N,
4u7,C9,CAPC0610X45N,
GPIO,J3,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,
4u7,C30,CAPC0610X45N,
ConfigureSPI,J2,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,
4u7,C42,CAPC0610X45N,
IODC,J13,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,
Conn_01x01,J12,MountingHole_3.2mm_M3_ISO7380_Pad,
4u7,C34,CAPC0610X45N,
4u7,C23,CAPC0610X45N,
SN74AXC4T774QPWRQ1,IC3,SOP65P640X120-16N,
4u7,C26,CAPC0610X45N,
Conn_01x01,J11,MountingHole_3.2mm_M3_ISO7380_Pad,
4u7,C20,CAPC0610X45N,
4u7,C32,CAPC0610X45N,
PLLDC,J7,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,
4u7,C25,CAPC0610X45N,
4u7,C39,CAPC0610X45N,
clock,J5,Akizuki-SMA,
1000u,C44,CP_Elec_10x10,
220u,C8,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,
4u7,C12,CAPC0610X45N,
4u7,C31,CAPC0610X45N,
4u7,C43,CAPC0610X45N,
4u7,C14,CAPC0610X45N,
1000u,C1,CP_Elec_10x10,
4u7,C15,CAPC0610X45N,
4u7,C38,CAPC0610X45N,
4u7,C40,CAPC0610X45N,
4u7,C35,CAPC0610X45N,
4u7,C36,CAPC0610X45N,
4u7,C7,CAPC0610X45N,
4u7,C41,CAPC0610X45N,
